Collision,5,1,7,7616,"""55555555555555555555"""
Collision,0,0,17,16572,"""00000000000000000000"""
Collision,4,1,8,7990,"""44444444444444444444"""
Collision,1,1,5,4559,"""11111111111111111111"""
Collision,4,1,9,8472,"""44444444444444444444"""
Success,5,1,8,8514,"""55555555555555555555"""
Collision,0,0,18,17760,"""00000000000000000000"""
Collision,1,1,6,5611,"""11111111111111111111"""
Collision,4,1,10,9510,"""44444444444444444444"""
Success,4,1,11,9858,"""44444444444444444444"""
Collision,5,2,0,302,"""55555555555555555555"""
Collision,0,0,19,18769,"""00000000000000000000"""
Collision,5,2,1,615,"""55555555555555555555"""
Collision,1,1,7,6749,"""11111111111111111111"""
Collision,1,1,8,7107,"""11111111111111111111"""
Collision,5,2,2,1123,"""55555555555555555555"""
Collision,4,2,0,302,"""44444444444444444444"""
Collision,0,0,20,19822,"""00000000000000000000"""
Collision,5,2,3,2085,"""55555555555555555555"""
Collision,1,1,9,8420,"""11111111111111111111"""
Collision,4,2,1,1696,"""44444444444444444444"""
Collision,0,0,21,21196,"""00000000000000000000"""
Collision,5,2,4,3034,"""55555555555555555555"""
Collision,0,0,22,21656,"""00000000000000000000"""
Collision,5,2,5,3366,"""55555555555555555555"""
Collision,1,1,10,9830,"""11111111111111111111"""
Collision,5,2,6,3696,"""55555555555555555555"""
Collision,4,2,2,3189,"""44444444444444444444"""
Collision,0,0,23,22696,"""00000000000000000000"""
Collision,1,1,11,10701,"""11111111111111111111"""
Collision,4,2,3,3588,"""44444444444444444444"""
Collision,1,1,12,11029,"""11111111111111111111"""
Collision,5,2,7,5085,"""55555555555555555555"""
Collision,4,2,4,4141,"""44444444444444444444"""
Collision,0,0,24,23676,"""00000000000000000000"""
Success,1,1,13,11670,"""11111111111111111111"""
Success,5,2,8,6189,"""55555555555555555555"""
Collision,4,2,5,5577,"""44444444444444444444"""
Collision,1,2,0,312,"""11111111111111111111"""
Collision,0,0,25,25340,"""00000000000000000000"""
Success,5,3,0,301,"""55555555555555555555"""
Success,4,2,6,6656,"""44444444444444444444"""
Collision,0,0,26,26605,"""00000000000000000000"""
Collision,1,2,1,1779,"""11111111111111111111"""
Success,5,4,0,301,"""55555555555555555555"""
Collision,4,3,0,301,"""44444444444444444444"""
Collision,0,0,27,27620,"""00000000000000000000"""
Collision,1,2,2,2794,"""11111111111111111111"""
Success,4,3,1,824,"""44444444444444444444"""
Success,0,0,28,28492,"""00000000000000000000"""
Success,1,2,3,3933,"""11111111111111111111"""
Success,4,4,0,302,"""44444444444444444444"""
Success,5,5,0,302,"""55555555555555555555"""
Success,0,1,0,302,"""00000000000000000000"""
